Num_Cta,Cli_codigo,TipoCuenta,Sucursal,FechaApertura,Saldo
191-10131-30,C0131,CTA CORRIENTE,San Isidro,23/10/2018,8578.62
191-10132-66,C0132,NA,Callao,03/09/2016,3473.45
191-10133-78,C0133,CTA CORRIENTE,San Isidro,17/07/2012,10213.56
191-10134-60,C0134,CTA AHORROS SOLES,Miraflores,24/02/2019,2452.27
191-10135-63,C0135,NA,Lince,01/02/2013,8728.8
191-10136-42,C0136,NA,La Molina,15/04/2015,13282.64
191-10137-62,C0137,CTA AHORROS DOLARES,Lince,30/06/2010,8699.89
191-10138-67,C0138,CTA AHORROS SOLES,San Isidro,16/03/2014,12066.36
191-10139-71,C0139,CTA AHORROS SOLES,La Molina,08/04/2010,14747.41
191-10140-71,C0140,CTA CORRIENTE,Cajamarca,06/11/2021,14429.41
191-10141-42,C0141,CTA CORRIENTE,San Isidro,30/12/2019,2677.4
191-10142-14,C0142,CTA AHORROS SOLES,Callao,03/11/2010,10995.28
191-10143-76,C0143,CTA CORRIENTE,Cajamarca,25/02/2010,4684.41
191-10144-96,C0144,NA,Lince,20/01/2012,12028.64
191-10145-19,C0145,CTA AHORROS DOLARES,San Isidro,02/06/2021,14299.1
191-10146-81,C0146,CTA AHORROS DOLARES,Lince,27/12/2018,12907.87
191-10147-30,C0147,CTA AHORROS SOLES,Surco,01/11/2013,1495.98
191-10148-22,C0148,CTA AHORROS DOLARES,La Molina,21/07/2018,8267.05
191-10149-35,C0149,CTA AHORROS DOLARES,San Isidro,26/03/2023,4646.24
191-10150-26,C0150,CTA AHORROS SOLES,La Molina,12/10/2023,4684.93
191-10151-43,C0151,NA,Lince,18/06/2023,7832.4
191-10152-94,C0152,CTA AHORROS DOLARES,La Molina,23/07/2010,13235.46
191-10153-95,C0153,NA,Miraflores,06/05/2019,2209.63
191-10154-15,C0154,CTA AHORROS SOLES,San Isidro,31/12/2016,4198.54
191-10155-16,C0155,CTA AHORROS SOLES,La Molina,02/12/2019,3546.2
191-10156-61,C0156,CTA AHORROS DOLARES,Miraflores,01/11/2014,8979.86
191-10157-67,C0157,CTA AHORROS SOLES,La Molina,05/07/2019,10164.47
191-10158-26,C0158,CTA AHORROS SOLES,Lince,08/03/2019,840.01
191-10159-90,C0159,CTA AHORROS SOLES,La Molina,05/08/2023,6282.43
191-10160-83,C0160,NA,Miraflores,24/10/2013,4546.86
191-10161-28,C0161,CTA AHORROS SOLES,La Molina,02/03/2013,1994.73
191-10162-39,C0162,CTA AHORROS SOLES,San Isidro,14/07/2014,14443.8
191-10163-36,C0163,CTA AHORROS SOLES,San Isidro,04/04/2015,4938.53
191-10164-67,C0164,CTA AHORROS SOLES,La Molina,03/11/2015,10337.04
191-10165-43,C0165,CTA AHORROS SOLES,San Isidro,21/02/2014,12031.32
191-10166-25,C0166,CTA AHORROS SOLES,Callao,01/05/2013,13216.92
191-10167-61,C0167,CTA AHORROS SOLES,Lince,03/11/2023,8674.53
191-10168-76,C0168,CTA CORRIENTE,Callao,21/06/2011,11399.01
191-10169-91,C0169,NA,San Isidro,19/07/2018,6500.98
191-10170-83,C0170,CTA CORRIENTE,Surco,16/06/2021,14971.99
191-10171-48,C0171,CTA CORRIENTE,Cajamarca,14/06/2021,5435.11
191-10172-55,C0172,CTA CORRIENTE,La Molina,30/03/2010,3375.72
191-10173-11,C0173,NA,Miraflores,18/09/2013,7060.26
191-10174-48,C0174,CTA AHORROS DOLARES,Callao,02/01/2021,11007.24
191-10175-78,C0175,CTA CORRIENTE,La Molina,16/04/2013,1486.64
191-10176-90,C0176,NA,Surco,16/04/2015,8592.04
191-10177-83,C0177,CTA AHORROS DOLARES,Cajamarca,15/10/2014,11377.45
191-10178-36,C0178,CTA AHORROS DOLARES,Miraflores,22/04/2023,14924.03
191-10179-63,C0179,CTA CORRIENTE,La Molina,14/10/2013,11173.97
191-10180-35,C0180,CTA CORRIENTE,La Molina,20/09/2021,14821.9
191-10181-14,C0181,CTA CORRIENTE,Callao,15/07/2021,4831.11
191-10182-49,C0182,NA,Miraflores,23/05/2023,9866.18
191-10183-58,C0183,CTA AHORROS DOLARES,Surco,11/09/2020,5974.05
191-10184-37,C0184,CTA CORRIENTE,Lince,26/07/2017,12067.66
191-10185-35,C0185,CTA CORRIENTE,Miraflores,22/05/2021,3629.05
191-10186-63,C0186,CTA AHORROS SOLES,Lince,12/11/2018,9856.01
191-10187-26,C0187,NA,Miraflores,11/12/2012,4729.51
191-10188-45,C0188,NA,Miraflores,29/12/2018,7731.54
191-10189-74,C0189,NA,Cajamarca,17/08/2020,2997.62
191-10190-35,C0190,NA,Miraflores,01/10/2011,7884.38
191-10191-13,C0191,NA,Cajamarca,17/09/2024,5233.87
191-10192-16,C0192,CTA AHORROS DOLARES,Callao,30/01/2021,8276.79
191-10193-65,C0193,CTA AHORROS SOLES,La Molina,16/01/2017,7724.64
191-10194-95,C0194,CTA CORRIENTE,Cajamarca,21/05/2024,2528.19
191-10195-12,C0195,CTA AHORROS SOLES,Surco,01/03/2019,11783.73
191-10196-47,C0196,CTA AHORROS DOLARES,Callao,08/02/2021,13030.28
191-10197-63,C0197,CTA CORRIENTE,La Molina,19/02/2022,7744.4
191-10198-19,C0198,NA,Cajamarca,30/11/2018,1198.23
191-10199-50,C0199,CTA CORRIENTE,La Molina,13/04/2016,5859.92
191-10200-76,C0200,NA,San Isidro,25/08/2017,5096.32
191-10201-95,C0201,NA,Miraflores,07/02/2015,9732.8
191-10202-10,C0202,NA,Cajamarca,06/07/2024,5474.26
191-10203-12,C0203,CTA CORRIENTE,La Molina,28/11/2017,4257.4
191-10204-14,C0204,CTA AHORROS DOLARES,San Isidro,05/07/2015,2614.92
191-10205-66,C0205,NA,Cajamarca,08/05/2024,1077.22
191-10206-21,C0206,CTA AHORROS DOLARES,Miraflores,24/01/2015,14507.0
191-10207-78,C0207,CTA AHORROS DOLARES,Surco,11/12/2018,5026.99
191-10208-81,C0208,NA,Miraflores,12/08/2015,14659.05
191-10209-72,C0209,NA,Cajamarca,06/02/2019,7586.13
191-10210-18,C0210,NA,San Isidro,24/06/2015,11194.4
191-10211-57,C0211,CTA AHORROS DOLARES,Miraflores,04/03/2011,532.61
191-10212-96,C0212,CTA CORRIENTE,Callao,17/09/2019,7101.72
191-10213-39,C0213,CTA AHORROS DOLARES,La Molina,29/10/2012,13857.75
191-10214-12,C0214,CTA AHORROS DOLARES,San Isidro,03/02/2013,1976.74
191-10215-50,C0215,CTA CORRIENTE,Callao,22/10/2010,7838.38
191-10216-65,C0216,NA,Lince,09/11/2016,2637.43
191-10217-59,C0217,NA,Surco,25/10/2017,9323.09
191-10218-37,C0218,NA,Lince,15/12/2019,14147.53
191-10219-97,C0219,CTA AHORROS SOLES,Callao,12/10/2017,9946.13
191-10220-31,C0220,CTA CORRIENTE,San Isidro,04/07/2018,11862.77
191-10221-71,C0221,CTA AHORROS DOLARES,Callao,29/07/2011,3479.52
191-10222-13,C0222,CTA AHORROS SOLES,Callao,19/08/2024,2599.39
191-10223-73,C0223,CTA AHORROS DOLARES,La Molina,28/04/2012,1595.09
191-10224-68,C0224,CTA AHORROS SOLES,Cajamarca,13/03/2017,10772.88
191-10225-76,C0225,NA,Miraflores,10/01/2019,7837.28
191-10226-23,C0226,CTA CORRIENTE,Miraflores,05/11/2023,10892.26
191-10227-75,C0227,CTA AHORROS SOLES,Callao,09/10/2024,14056.1
191-10228-10,C0228,CTA CORRIENTE,Surco,25/07/2016,10474.06
191-10229-81,C0229,CTA CORRIENTE,San Isidro,18/11/2019,6488.41
191-10230-23,C0230,CTA AHORROS DOLARES,Callao,18/07/2017,752.09
191-10231-18,C0231,NA,La Molina,25/03/2018,5434.65
191-10232-53,C0232,NA,Cajamarca,25/10/2011,695.31
191-10233-61,C0233,NA,San Isidro,09/01/2024,12721.03
191-10234-34,C0234,CTA CORRIENTE,La Molina,03/02/2016,9116.6
191-10235-68,C0235,NA,San Isidro,16/11/2013,1388.56
191-10236-18,C0236,CTA CORRIENTE,San Isidro,01/01/2023,1536.87
191-10237-81,C0237,CTA CORRIENTE,San Isidro,12/05/2024,7969.96
191-10238-17,C0238,NA,La Molina,19/05/2019,2584.33
191-10239-30,C0239,CTA CORRIENTE,Miraflores,02/10/2013,9837.72
191-10240-52,C0240,CTA AHORROS DOLARES,San Isidro,19/04/2023,14542.65
191-10241-96,C0241,CTA AHORROS SOLES,Surco,12/03/2024,3558.47
191-10242-75,C0242,NA,San Isidro,20/05/2011,2896.39
191-10243-94,C0243,CTA CORRIENTE,San Isidro,23/09/2012,13128.07
191-10244-42,C0244,CTA AHORROS DOLARES,Surco,02/02/2017,9235.43
191-10245-81,C0245,CTA CORRIENTE,San Isidro,26/06/2011,6588.39
191-10246-14,C0246,NA,San Isidro,12/04/2020,4795.08
191-10247-98,C0247,CTA AHORROS SOLES,Cajamarca,12/07/2011,737.98
191-10248-23,C0248,CTA AHORROS DOLARES,La Molina,25/09/2018,1059.76
191-10249-63,C0249,CTA AHORROS DOLARES,Callao,05/08/2022,3544.25
191-10250-59,C0250,CTA CORRIENTE,San Isidro,07/05/2023,6306.49
191-10251-30,C0251,CTA AHORROS SOLES,San Isidro,08/11/2021,7151.79
191-10252-43,C0252,CTA CORRIENTE,Callao,16/12/2012,3481.13
191-10253-50,C0253,CTA AHORROS DOLARES,Cajamarca,04/12/2013,10171.42
191-10254-29,C0254,NA,La Molina,06/05/2024,1583.74
191-10255-23,C0255,CTA CORRIENTE,La Molina,17/09/2012,8516.32
191-10256-67,C0256,CTA AHORROS DOLARES,Surco,03/04/2022,12404.69
191-10257-88,C0257,CTA AHORROS SOLES,Lince,03/04/2022,10163.84
191-10258-98,C0258,CTA AHORROS SOLES,Callao,05/05/2018,5394.5
191-10259-82,C0259,CTA AHORROS SOLES,Lince,29/08/2013,8413.78
191-10260-50,C0260,CTA CORRIENTE,San Isidro,07/11/2023,10802.66
191-10261-96,C0261,CTA AHORROS SOLES,Miraflores,29/11/2014,6978.65
191-10262-53,C0262,CTA CORRIENTE,Miraflores,12/07/2021,13838.66
191-10263-10,C0263,CTA AHORROS SOLES,San Isidro,14/07/2019,10776.8
191-10264-20,C0264,CTA AHORROS SOLES,La Molina,17/01/2011,10238.38
191-10265-22,C0265,CTA CORRIENTE,Surco,29/08/2021,9115.12
191-10266-97,C0266,NA,San Isidro,18/03/2021,1023.98
191-10267-95,C0267,NA,Cajamarca,11/08/2013,2130.87
191-10268-27,C0268,CTA AHORROS DOLARES,Surco,14/03/2017,9063.13
191-10269-12,C0269,CTA AHORROS DOLARES,Callao,01/02/2020,14384.22
191-10270-42,C0270,CTA AHORROS SOLES,Lince,08/08/2022,14013.6
191-10271-67,C0271,NA,La Molina,05/09/2019,7680.52
191-10272-57,C0272,CTA AHORROS DOLARES,Surco,29/05/2019,9037.74
191-10273-81,C0273,NA,La Molina,11/01/2021,8662.12
191-10274-89,C0274,CTA CORRIENTE,Miraflores,17/01/2024,8615.96
191-10275-11,C0275,NA,Surco,21/07/2021,10816.39
191-10276-95,C0276,CTA CORRIENTE,Cajamarca,16/07/2023,7745.53
191-10277-69,C0277,CTA CORRIENTE,Lince,08/10/2010,13613.25
191-10278-21,C0278,CTA AHORROS DOLARES,Callao,24/09/2018,8178.15
191-10279-32,C0279,NA,Cajamarca,28/07/2024,4901.99
191-10280-69,C0280,CTA AHORROS DOLARES,Cajamarca,10/02/2015,4522.99
191-10281-87,C0281,NA,San Isidro,13/04/2016,3271.5
191-10282-88,C0282,CTA AHORROS DOLARES,Surco,27/09/2017,13866.18
191-10283-21,C0283,CTA CORRIENTE,Lince,19/01/2012,5647.08
191-10284-97,C0284,CTA AHORROS SOLES,La Molina,13/05/2012,1311.03
191-10285-35,C0285,NA,La Molina,30/03/2014,7673.36
191-10286-79,C0286,CTA AHORROS DOLARES,San Isidro,01/10/2012,5779.46
191-10287-52,C0287,NA,Cajamarca,25/12/2016,12290.82
191-10288-10,C0288,CTA AHORROS SOLES,Surco,17/01/2020,9407.66
191-10289-48,C0289,NA,San Isidro,19/05/2016,12794.71
191-10290-47,C0290,CTA AHORROS DOLARES,San Isidro,01/03/2012,2885.1
191-10291-49,C0291,CTA CORRIENTE,San Isidro,10/05/2023,3481.7
191-10292-76,C0292,NA,Miraflores,25/05/2015,2082.85
191-10293-57,C0293,NA,Miraflores,17/03/2011,9094.32
191-10294-78,C0294,CTA CORRIENTE,Cajamarca,24/12/2017,11543.17
191-10295-98,C0295,NA,La Molina,23/03/2018,6512.17
191-10296-88,C0296,CTA CORRIENTE,Cajamarca,04/07/2015,4968.63
191-10297-42,C0297,CTA AHORROS DOLARES,Cajamarca,18/10/2012,1069.58
191-10298-80,C0298,NA,Callao,11/08/2018,1972.97
191-10299-42,C0299,CTA AHORROS DOLARES,Miraflores,12/12/2022,12256.96
191-10300-21,C0300,CTA AHORROS DOLARES,La Molina,23/02/2020,6245.95
191-10301-78,C0301,NA,Miraflores,02/07/2014,6533.45
191-10302-36,C0302,NA,Lince,19/06/2017,3498.03
191-10303-58,C0303,CTA CORRIENTE,Cajamarca,30/05/2022,4124.48
191-10304-57,C0304,CTA CORRIENTE,La Molina,18/05/2017,11264.23
191-10305-19,C0305,CTA CORRIENTE,Cajamarca,17/06/2016,9703.52
191-10306-23,C0306,CTA AHORROS DOLARES,Surco,02/06/2016,7960.87
191-10307-12,C0307,NA,Cajamarca,09/10/2018,2688.86
191-10308-22,C0308,CTA CORRIENTE,Lince,15/05/2014,2857.87
191-10309-85,C0309,CTA CORRIENTE,Callao,11/11/2022,11329.97
191-10310-98,C0310,CTA AHORROS SOLES,San Isidro,05/11/2021,9947.43
191-10311-61,C0311,CTA AHORROS DOLARES,Lince,27/06/2023,11305.71
191-10312-29,C0312,CTA AHORROS SOLES,Cajamarca,03/05/2010,1320.75
191-10313-20,C0313,CTA CORRIENTE,Miraflores,30/01/2018,1616.82
191-10314-73,C0314,CTA CORRIENTE,Callao,06/04/2014,13808.58
191-10315-23,C0315,CTA CORRIENTE,Cajamarca,16/11/2019,1767.89
191-10316-20,C0316,NA,San Isidro,10/01/2013,14859.82
191-10317-83,C0317,CTA AHORROS DOLARES,Surco,22/03/2011,8977.75
191-10318-62,C0318,CTA AHORROS DOLARES,Surco,18/01/2022,12890.9
191-10319-94,C0319,CTA AHORROS SOLES,Miraflores,26/11/2014,10065.95
191-10320-85,C0320,NA,Surco,28/05/2015,2295.3
191-10321-59,C0321,CTA AHORROS SOLES,San Isidro,26/11/2023,4973.46
191-10322-99,C0322,CTA CORRIENTE,Callao,31/10/2016,12302.78
191-10323-40,C0323,CTA AHORROS DOLARES,Cajamarca,03/04/2018,7018.01
191-10324-83,C0324,CTA CORRIENTE,Callao,16/08/2012,11356.79
191-10325-45,C0325,CTA CORRIENTE,Lince,22/07/2011,4217.86
191-10326-73,C0326,CTA AHORROS SOLES,Callao,11/07/2017,7209.03
191-10327-18,C0327,CTA CORRIENTE,Cajamarca,02/10/2018,2066.53
191-10328-16,C0328,CTA AHORROS SOLES,Surco,29/02/2024,2175.61
191-10329-20,C0329,CTA CORRIENTE,Lince,13/07/2019,14572.46
191-10330-99,C0330,CTA AHORROS SOLES,Lince,16/01/2010,12678.1
191-10331-77,C0331,CTA AHORROS SOLES,Callao,28/06/2017,4512.32
191-10332-48,C0332,NA,Miraflores,16/03/2016,1885.6
191-10333-48,C0333,CTA CORRIENTE,Miraflores,16/06/2016,4015.2
191-10334-92,C0334,CTA CORRIENTE,Lince,10/10/2010,6097.16
191-10335-22,C0335,NA,Lince,27/05/2016,1908.8
191-10336-46,C0336,CTA CORRIENTE,La Molina,17/08/2018,10372.16
191-10337-63,C0337,CTA AHORROS DOLARES,Cajamarca,17/07/2021,13358.26
191-10338-15,C0338,CTA AHORROS DOLARES,Surco,05/05/2017,4475.41
191-10339-27,C0339,CTA AHORROS SOLES,Surco,29/12/2019,13052.02
191-10340-61,C0340,CTA AHORROS SOLES,Callao,26/12/2010,14243.87
191-10341-71,C0341,CTA CORRIENTE,Cajamarca,29/03/2019,2223.35
191-10342-44,C0342,NA,Miraflores,19/05/2022,3289.25
191-10343-54,C0343,CTA AHORROS DOLARES,Miraflores,05/06/2014,3104.12
191-10344-44,C0344,CTA AHORROS DOLARES,Miraflores,20/09/2019,10244.91
191-10345-78,C0345,CTA CORRIENTE,San Isidro,30/12/2022,7139.62
191-10346-40,C0346,CTA CORRIENTE,Callao,16/09/2023,4742.24
191-10347-63,C0347,CTA AHORROS SOLES,Surco,22/04/2012,14796.92
191-10348-99,C0348,CTA AHORROS DOLARES,La Molina,23/11/2016,2329.17
191-10349-55,C0349,CTA AHORROS SOLES,Miraflores,11/01/2010,7758.16
191-10350-52,C0350,CTA AHORROS SOLES,Callao,08/01/2024,11166.68
191-10351-99,C0351,CTA AHORROS DOLARES,Surco,16/08/2012,3547.3
191-10352-19,C0352,CTA AHORROS SOLES,La Molina,09/06/2024,8818.16
191-10353-85,C0353,CTA AHORROS SOLES,San Isidro,18/02/2012,3587.66
191-10354-41,C0354,CTA CORRIENTE,La Molina,03/11/2015,11762.64
191-10355-60,C0355,CTA CORRIENTE,La Molina,19/06/2016,3478.99
191-10356-40,C0356,CTA AHORROS SOLES,Callao,17/02/2018,12346.67
191-10357-65,C0357,NA,Lince,28/10/2020,4059.98
191-10358-80,C0358,CTA AHORROS SOLES,Cajamarca,06/08/2015,4211.35
191-10359-27,C0359,CTA CORRIENTE,Surco,15/06/2010,10957.14
191-10360-51,C0360,CTA AHORROS SOLES,Surco,06/02/2020,13759.95
191-10361-65,C0361,CTA AHORROS SOLES,Callao,28/06/2022,4152.05
191-10362-85,C0362,CTA AHORROS SOLES,Miraflores,13/06/2023,9306.43
191-10363-24,C0363,CTA AHORROS DOLARES,Miraflores,26/11/2020,10871.74
